Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,157.4,166,170,166,170,170,169.52,33259
04-01-2000,170,182,183.45,171,174,173.8,174.99,168710
05-01-2000,173.8,170,173.9,165,168,166.95,169.2,159820
06-01-2000,166.95,168,170,165.3,168.95,168.3,168.44,85026
07-01-2000,168.3,162.15,171,162.15,170.75,168.35,166.79,85144
10-01-2000,168.35,172.9,179.5,165,166.3,165.9,167.79,100434
11-01-2000,165.9,166.5,167.9,157,163,163.4,161.4,145784
12-01-2000,163.4,163.75,167.95,162.3,165.1,165.45,163.89,85952
13-01-2000,165.45,169.9,169.9,165,165.95,165.1,165.26,48276
14-01-2000,165.1,168,168,164,166,165.45,164.68,58152
17-01-2000,165.45,174,178.7,172.05,178.7,178.7,177.96,137404
18-01-2000,178.7,178.7,178.7,164.55,168.2,165.7,168.86,255652
19-01-2000,165.7,172,179,172,179,179,178,349818
20-01-2000,179,184.8,184.8,176,177.8,178.6,179.03,269098
21-01-2000,178.6,176,192,172.1,191,188.15,181.9,472329
24-01-2000,188.15,198.8,203.2,193,200.9,200.55,198.75,449366
25-01-2000,200.55,199,216.6,199,216.6,216.6,210.62,290291
27-01-2000,216.6,224,233.95,221.25,228,229.7,229.18,563582
28-01-2000,229.7,230,233,224,226,227.9,227.85,479165
31-01-2000,227.9,230.1,246.15,230.1,234.1,237.75,241.45,637380
01-02-2000,237.75,236,244,235,241,240.95,238.92,390779
02-02-2000,240.95,260.2,260.25,239,240,244,245.93,343832
03-02-2000,244,244,250,224.5,226.25,225.95,233.14,284687
04-02-2000,225.95,229.95,232,217.5,230.25,228.95,224,265704
07-02-2000,228.95,235,247.3,230,244.75,246.7,240.7,389035
08-02-2000,246.7,250,253.8,240.1,253,250.75,249.44,305208
09-02-2000,250.75,255,261,246.1,251,252.5,252.96,317233
10-02-2000,252.5,250,262,248.25,251,251.75,254.44,210086
11-02-2000,251.75,255.1,259,231.65,233,232.1,236.2,264823
14-02-2000,232.1,235,235,220.15,234,233.45,231.65,252544
15-02-2000,233.45,234,235,225.1,230,227.6,231.01,194087
16-02-2000,227.6,244.9,245.85,230,245.85,245.85,239.38,70600
17-02-2000,245.85,257.7,257.7,248.15,248.15,250.4,253.57,234160
18-02-2000,250.4,251,253,239,243,242.6,244.75,118777
21-02-2000,242.6,243.25,248,235.1,235.6,236.15,240.46,110472
22-02-2000,236.15,236.05,240,217.3,217.3,217.55,223.6,174806
23-02-2000,217.55,226,234.9,217.5,220.5,219.45,226.4,134508
24-02-2000,219.45,222,230,215.5,227,227,223.39,87892
25-02-2000,227,229.95,234,222,227.5,227,227.89,126532
28-02-2000,227,229.85,230,220,227.5,227.55,224.08,85721
29-02-2000,227.55,228,239,209.5,218.95,216.8,226.42,258688
01-03-2000,216.8,218,234.15,218,234.15,234.15,230.17,32094
02-03-2000,234.15,250,252.9,250,252.9,252.9,252.9,39936
03-03-2000,252.9,273.15,273.15,273.15,273.15,273.15,273.15,64294
06-03-2000,273.15,294.95,295,255,262.5,266.05,262.51,203641
07-03-2000,266.05,265,267.9,255,263.5,258.2,260.59,162412
08-03-2000,258.2,265,278.9,262,272.05,272.05,276.05,200477
09-03-2000,272.05,270.15,280,251,265.5,269.6,262.23,133979
10-03-2000,269.6,261.25,263,248.05,257.9,254.15,255.35,146833
13-03-2000,254.15,250,274.5,250,274.5,269.95,264.1,207982
14-03-2000,269.95,275.5,280,256,268,265.4,262.42,178202
15-03-2000,265.4,270,270,247,261.5,259.85,258.15,82786
16-03-2000,259.85,262,262,255.05,256.25,256.95,258.11,132464
21-03-2000,256.95,260,260,246.7,257,255.8,253.52,160111
22-03-2000,255.8,259.75,265,254.05,263.25,261.15,260.42,76130
23-03-2000,261.15,258.25,282.05,258.25,279.6,280.4,277.67,253844
24-03-2000,280.4,275.1,277.75,264.5,274,273.4,270.64,117154
27-03-2000,273.4,275,278,266.25,272,271.7,271.53,61131
28-03-2000,271.7,268.5,278.5,268.05,272.5,275.1,273.31,98364
29-03-2000,275.1,276,287.95,263.05,264,265.4,272.29,98480
30-03-2000,265.4,256.5,266,251,263,262.55,257.66,95368
31-03-2000,262.55,253,260,252,258.25,257.2,256.56,74360
03-04-2000,257.2,259.95,273,240.15,245,247.15,256.59,168588
04-04-2000,247.15,243,243,227.4,227.4,227.4,227.68,71783
05-04-2000,227.4,232,232,209.25,209.25,209.25,215.65,87281
06-04-2000,209.25,207,212,192.55,192.55,192.55,196.65,83506
07-04-2000,192.55,195,207.95,185.05,207.95,207.95,207.41,160929
10-04-2000,207.95,224.5,224.6,219.95,224.6,224.6,224.44,156056
11-04-2000,224.6,224.6,234.9,209,229.8,226.2,222.63,295933
12-04-2000,226.2,238,243,223,233.45,233,232.04,130901
13-04-2000,233,229,234,215,230.5,231.45,225.69,191316
17-04-2000,231.45,225,225,212.95,212.95,212.95,214.03,128329
18-04-2000,212.95,214.05,224.9,214.05,222.75,222.1,220.07,136898
19-04-2000,222.1,229,232,219,225,226.45,225.01,140953
20-04-2000,226.45,223,227,215.3,225,225.7,221.84,179397
24-04-2000,225.7,225,235.9,224.5,229.05,232.1,230.97,198636
25-04-2000,232.1,228.1,235,220,234.7,230.95,226.6,256016
26-04-2000,230.95,239.9,249.45,231.25,249.45,249.25,243.55,188978
27-04-2000,249.25,254.7,255,233.1,244.05,245.5,243.28,255768
28-04-2000,245.5,242.05,249.5,240.05,245.05,245.15,245.37,167249
02-05-2000,245.15,247,254,240,249.5,251.2,247.26,253873
03-05-2000,251.2,243,249.9,232.5,247,246.2,243.14,222892
04-05-2000,246.2,254.9,257,246.1,251,250.8,250.82,172245
05-05-2000,250.8,248.5,270,247.25,259,259.85,260.3,284419
08-05-2000,259.85,265,275,256,260.45,260.45,260.42,138220
09-05-2000,260.45,256,264.95,253,257.05,261.4,259.1,114288
10-05-2000,261.4,260,265,252,261.05,262.65,259.75,187477
11-05-2000,262.65,255.1,270.9,254.05,264.5,265.8,264.03,243138
12-05-2000,265.8,271.4,271.4,260.1,262.85,262.1,264.39,129698
15-05-2000,262.1,258.05,262,251,255.9,257.1,256.61,165313
16-05-2000,257.1,257,261.75,255,255,256.25,257.24,107407
17-05-2000,256.25,260,261,255.1,257.45,258.05,258.02,80143
18-05-2000,258.05,255.1,259,255,256.1,256.05,256.49,48871
19-05-2000,256.05,252.05,260.5,252.05,256.9,255.75,256.65,216905
22-05-2000,255.75,256,257.9,243.25,247,248.85,250.11,110150
23-05-2000,248.85,247,247,219.05,237,233.75,230.74,203910
24-05-2000,233.75,230,252.45,220.1,241.5,242.1,241.3,319841
25-05-2000,242.1,242.5,247.5,230.1,233.5,233.6,239.09,157631
26-05-2000,233.6,231.1,235.95,225.1,230.2,230.25,231.55,138735
29-05-2000,230.25,228.05,231.5,212,224,224.65,222.08,141151
30-05-2000,224.65,227,229.5,216,224.9,223.8,223.31,146745
31-05-2000,223.8,231,239.4,225,229.55,230.3,230.26,152669
01-06-2000,230.3,227,232,226,230.6,229.25,229.34,93573
02-06-2000,229.25,232,247,232,245,244.5,239.93,221847
05-06-2000,244.5,246.1,263.5,244.15,248,247.05,254.38,157111
06-06-2000,247.05,255,255,237,244,244.6,243.49,91793
07-06-2000,244.6,238,240.4,234,239,239.5,238.78,80002
08-06-2000,239.5,240,244.9,237,239,240.35,240.33,63662
09-06-2000,240.35,242,250,242,246.5,245.25,245.96,108211
12-06-2000,245.25,246.5,249,243.1,244,244.35,245.77,64144
13-06-2000,244.35,240,255,239,254,253.6,248.08,114014
14-06-2000,253.6,259,259,249,251,250.3,250.83,70730
15-06-2000,250.3,251.05,253,247.55,251.1,250.9,250.18,63502
16-06-2000,250.9,243,252.95,243,250.25,251,250.68,55813
19-06-2000,251,245.25,253,245.15,251.8,251.65,251.41,74185
20-06-2000,251.65,254.9,258.7,246.5,256,254.6,254.39,100754
21-06-2000,254.6,258,263,253.1,257.05,256.2,258.96,183914
22-06-2000,256.2,258.1,262,256,257.5,257.1,258.49,65074
23-06-2000,257.1,254.1,259,254.1,258.45,257.4,257.43,75781
26-06-2000,257.4,254.35,257.45,254.15,255,255.15,255.02,66041
27-06-2000,255.15,255,255,251,252,251.9,253.42,74332
28-06-2000,251.9,260,260,248.1,250.05,250.45,250.33,60383
29-06-2000,250.45,251.5,259,251,255,257.6,255.46,77404
30-06-2000,257.6,255,255.7,252,254,252.35,252.7,38450
03-07-2000,252.35,253.1,278,252.05,268,268.65,266.29,200434
04-07-2000,268.65,268,280.85,266,280,278.85,276.58,313429
05-07-2000,278.85,284.8,284.8,271.25,278,278,276.61,219271
06-07-2000,278,278,279.9,272.7,277,275.95,275.03,95733
07-07-2000,275.95,277,285,275.05,282.2,281.8,281.49,212198
10-07-2000,281.8,280,283,273,276.35,275.7,278.92,144167
11-07-2000,275.7,279,280,274,275.5,274.85,276.2,91841
12-07-2000,274.85,275,278.7,261,268,267.9,270.24,182915
13-07-2000,267.9,273.9,276.15,262.15,264.4,265.85,268.01,205966
14-07-2000,265.85,265.05,270,264.1,265.5,265.8,266.91,77555
17-07-2000,265.8,264.1,264.25,254,254,254.35,255.95,112576
18-07-2000,254.35,254.25,255.4,250,250,250.25,251.66,142612
